trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.005, 'e': 0.6440364210831414}",25,0,-43.026264124321266,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.005, 'e': 0.6408242760323187}",20,0,-87.41708341507126,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
90,False,"{'a': 0.005, 'e': 0.6376281516217733}",25,6,-73.81994682001327,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 2}",1
91,False,"{'a': 0.005, 'e': 0.6344479679482282}",25,10,-43.46682760358468,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
92,False,"{'a': 0.005, 'e': 0.631283645506926}",25,0,-91.92284419856927,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
93,False,"{'a': 0.005, 'e': 0.6281351051896408}",30,20,-66.4154646189549,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
94,False,"{'a': 0.005, 'e': 0.6250022682827008}",25,0,5.211025207641062,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
95,False,"{'a': 0.005, 'e': 0.62188505646502}",25,0,-137.96823729047046,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
96,False,"{'a': 0.005, 'e': 0.6187833918061408}",30,0,-40.44885886108072,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
97,False,"{'a': 0.005, 'e': 0.6156971967642851}",30,2,-131.17589486355487,"{0: 19, 1: 0, 2: 6, 3: 1, 4: 2}",1
98,False,"{'a': 0.005, 'e': 0.6126263941844161}",30,0,-76.52623437304483,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
99,False,"{'a': 0.005, 'e': 0.6095709072963093}",25,1,-26.13221433068884,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
100,False,"{'a': 0.005, 'e': 0.6065306597126334}",20,0,-27.07052597083264,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
101,False,"{'a': 0.005, 'e': 0.6035055754270405}",30,0,5.407277179096142,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
102,False,"{'a': 0.005, 'e': 0.6004955788122659}",25,0,-56.870590883316034,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
103,False,"{'a': 0.005, 'e': 0.5975005946182375}",25,0,-43.30202607337331,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
104,False,"{'a': 0.005, 'e': 0.5945205479701944}",25,0,-23.01732691927185,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
105,False,"{'a': 0.005, 'e': 0.5915553643668151}",25,0,-94.87443442816725,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
106,False,"{'a': 0.005, 'e': 0.5886049696783552}",25,14,-25.599389630332514,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.005, 'e': 0.5856692901447937}",20,0,-21.52199906926281,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
108,False,"{'a': 0.005, 'e': 0.5827482523739896}",20,3,-32.271058783204445,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
109,False,"{'a': 0.005, 'e': 0.5798417833398464}",20,0,-96.79132320696151,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
110,False,"{'a': 0.005, 'e': 0.5769498103804866}",25,0,-37.12653757248329,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
111,False,"{'a': 0.005, 'e': 0.574072261196436}",20,6,20.210012305309498,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.005, 'e': 0.5712090638488149}",20,0,-34.64453985938124,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
113,False,"{'a': 0.005, 'e': 0.5683601467575404}",20,11,-37.44049268665837,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.005, 'e': 0.5655254386995371}",20,15,2.0110660236978073,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.005, 'e': 0.5627048688069557}",35,11,-57.65173238440946,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.005, 'e': 0.559898366565402}",25,2,-11.372557942585924,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.005, 'e': 0.5571058618121739}",20,11,2.681060852917571,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.005, 'e': 0.5543272847345071}",20,0,-1.5958857185502264,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
119,False,"{'a': 0.005, 'e': 0.5515625658678298}",25,3,-39.36606178298321,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
120,False,"{'a': 0.005, 'e': 0.5488116360940265}",25,11,-58.145474658518474,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
121,False,"{'a': 0.005, 'e': 0.5460744266397094}",30,11,5.359002205458079,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.005, 'e': 0.5433508690744998}",25,12,-34.82835168530067,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 0}",1
123,False,"{'a': 0.005, 'e': 0.5406408953093166}",25,4,-100.4056894624184,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 2}",1
124,False,"{'a': 0.005, 'e': 0.5379444375946745}",35,16,-38.066284326668764,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 0}",1
125,False,"{'a': 0.005, 'e': 0.5352614285189903}",25,1,-98.23926201195879,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 1}",1
126,False,"{'a': 0.005, 'e': 0.5325918010068972}",30,0,-60.97253020488829,"{0: 23, 1: 1, 2: 3, 3: 3, 4: 0}",0
127,False,"{'a': 0.005, 'e': 0.5299354883175685}",20,0,-37.24337651486361,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
128,False,"{'a': 0.005, 'e': 0.5272924240430485}",25,7,-0.0024110387068656536,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.005, 'e': 0.5246625421065929}",20,0,4.0273133296421815,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
130,False,"{'a': 0.005, 'e': 0.522045776761016}",20,7,9.77457832682074,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.005, 'e': 0.5194420625870482}",20,15,11.221500856121185,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.005, 'e': 0.5168513344916992}",20,0,8.058865417458984,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
133,False,"{'a': 0.005, 'e': 0.5142735277066319}",20,0,-6.547459801508694,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
134,False,"{'a': 0.005, 'e': 0.5117085777865424}",30,8,-53.577518038263705,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
135,False,"{'a': 0.005, 'e': 0.5091564206075492}",20,0,-104.46429566650491,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
136,False,"{'a': 0.005, 'e': 0.5066169923655895}",30,20,6.2587905362298155,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.005, 'e': 0.5040902295748255}",30,7,9.439810402669064,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.005, 'e': 0.5015760690660555}",25,6,-19.63973004849629,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
139,False,"{'a': 0.005, 'e': 0.49907444798513595}",20,0,-21.506058975527083,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
140,False,"{'a': 0.005, 'e': 0.49658530379140947}",25,0,-27.602338583043196,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
141,False,"{'a': 0.005, 'e': 0.4941085742561417}",30,21,-7.453287455547248,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.005, 'e': 0.4916441974609651}",20,0,7.4595581013190175,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
143,False,"{'a': 0.005, 'e': 0.48919211179633154}",20,0,-93.38955327252592,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
144,False,"{'a': 0.005, 'e': 0.4867522559599717}",20,0,-116.31444737119412,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
145,False,"{'a': 0.005, 'e': 0.48432456895536247}",30,0,-102.89959712414787,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
146,False,"{'a': 0.005, 'e': 0.48190899009020244}",20,14,1.4143748552547835,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.005, 'e': 0.4795054589748941}",20,13,12.896164424990598,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.005, 'e': 0.4771139155210344}",25,10,11.26625066257087,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.005, 'e': 0.4747342999399124}",20,0,-75.14605292551688,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
